sampler,model,train_size,train_f1,valid_f1
adasyn_nearmiss,logistic_regression,249,0.9866117483472021,0.511343000065404
adasyn_nearmiss,logistic_regression,291,0.988934594057693,0.6182008672617891
adasyn_nearmiss,logistic_regression,332,0.9909443602273603,0.7122079646107446
adasyn_nearmiss,logistic_regression,374,0.9891382328459727,0.7848342731811137
adasyn_nearmiss,logistic_regression,416,0.9874974601235003,0.8405680269520659
adasyn_nearmiss,decision_tree,41,1.0,0.3333333333333333
adasyn_nearmiss,decision_tree,83,1.0,0.3333333333333333
adasyn_nearmiss,decision_tree,124,1.0,0.3333333333333333
adasyn_nearmiss,decision_tree,166,1.0,0.3333333333333333
adasyn_nearmiss,decision_tree,208,1.0,0.3333333333333333
adasyn_nearmiss,decision_tree,249,0.8132461762508463,0.6186570941001287
adasyn_nearmiss,decision_tree,291,0.769540973590696,0.7429808635504825
adasyn_nearmiss,decision_tree,332,0.774714055623025,0.7702555048606375
adasyn_nearmiss,decision_tree,374,0.800809464095245,0.7943360912220465
adasyn_nearmiss,decision_tree,416,0.8088539699091118,0.8049166873591982
adasyn_nearmiss,knn,41,1.0,0.3333333333333333
adasyn_nearmiss,knn,83,1.0,0.3333333333333333
adasyn_nearmiss,knn,124,1.0,0.3333333333333333
adasyn_nearmiss,knn,166,1.0,0.3333333333333333
adasyn_nearmiss,knn,208,1.0,0.3333333333333333
adasyn_nearmiss,knn,249,0.5721978707671944,0.3500139264716258
adasyn_nearmiss,knn,291,0.587382903613733,0.3818473954992111
adasyn_nearmiss,knn,332,0.5509954892656651,0.39347986440199906
adasyn_nearmiss,knn,374,0.5744824717228662,0.39347986440199906
adasyn_nearmiss,knn,416,0.5994476872306996,0.43771968443773723
adasyn_nearmiss,svm,41,,
adasyn_nearmiss,svm,83,,
adasyn_nearmiss,svm,124,,
adasyn_nearmiss,svm,166,,
adasyn_nearmiss,svm,208,,
adasyn_nearmiss,svm,249,0.9855689855120824,0.9769166720034415
adasyn_nearmiss,svm,291,0.9864348819695555,0.9692101208790087
adasyn_nearmiss,svm,332,0.9890256614335631,0.9692101208790087
adasyn_nearmiss,svm,374,0.9902412852238915,0.9692101208790087
adasyn_nearmiss,svm,416,0.9899035433288498,0.9788406380050775
