oversampler,model,train_size,train_f1,valid_f1,f1_gap
adasyn,logistic_regression,174,1.0,0.3717593016228698,0.6282406983771303
adasyn,logistic_regression,261,1.0,0.3984373860383418,0.6015626139616582
adasyn,logistic_regression,348,1.0,0.40840049518840116,0.5915995048115988
adasyn,logistic_regression,435,1.0,0.4160675237022399,0.58393247629776
adasyn,logistic_regression,522,0.999319687994839,0.9447173213245529,0.05460236667028606
adasyn,logistic_regression,609,1.0,0.9474982027861371,0.052501797213862944
adasyn,logistic_regression,696,1.0,0.9465397639969384,0.0534602360030616
adasyn,logistic_regression,783,1.0,0.9363268313731268,0.06367316862687322
adasyn,logistic_regression,871,1.0,0.9335048391281855,0.06649516087181451
adasyn,decision_tree,87,1.0,0.36173294032179204,0.638267059678208
adasyn,decision_tree,174,0.7144960098843163,0.4617363738840643,0.252759636000252
