Species,ClusterID,Percentage
buffalo,364,0.15625
buffalo,365,0.15625
buffalo,370,0.15625
buffalo,372,0.15625
buffalo,374,0.15625
buffalo,378,0.15625
buffalo,380,0.15625
buffalo,381,0.15625
buffalo,382,0.15625
buffalo,386,0.15625
buffalo,390,0.15625
buffalo,391,0.15625
buffalo,392,0.15625
buffalo,394,1.09375
buffalo,398,0.15625
buffalo,402,0.15625
buffalo,403,0.15625
buffalo,406,0.15625
buffalo,411,0.15625
buffalo,413,0.78125
buffalo,415,0.15625
buffalo,416,0.15625
buffalo,418,0.15625
buffalo,419,0.15625
buffalo,422,0.78125
buffalo,427,0.15625
buffalo,430,0.46875
cat,1,0.5555555555555556
cat,2,0.5555555555555556
cat,3,0.5555555555555556
cat,4,6.111111111111111
cat,5,1.1111111111111112
cat,7,2.2222222222222223
cat,9,2.7777777777777777
cat,12,0.5555555555555556
cat,17,3.888888888888889
cat,18,0.5555555555555556
cat,19,0.5555555555555556
cat,21,1.1111111111111112
cat,22,0.5555555555555556
cat,24,1.1111111111111112
cat,27,2.2222222222222223
cat,35,0.5555555555555556
cat,36,1.1111111111111112
cat,41,0.5555555555555556
cat,43,0.5555555555555556
cat,45,0.5555555555555556
cat,49,1.1111111111111112
cat,51,1.1111111111111112
cat,55,0.5555555555555556
cat,56,2.2222222222222223
cat,60,1.1111111111111112
cat,62,0.5555555555555556
cat,69,0.5555555555555556
cat,78,1.1111111111111112
cat,79,1.1111111111111112
cat,83,0.5555555555555556
cat,84,0.5555555555555556
cat,86,2.2222222222222223
cat,87,1.6666666666666667
cat,90,0.5555555555555556
cat,95,2.7777777777777777
cat,98,0.5555555555555556
cat,102,0.5555555555555556
cat,103,0.5555555555555556
cat,105,2.2222222222222223
cat,108,0.5555555555555556
cat,112,0.5555555555555556
cat,129,1.1111111111111112
cat,142,0.5555555555555556
cat,145,0.5555555555555556
cat,152,1.1111111111111112
cat,153,0.5555555555555556
cat,157,0.5555555555555556
cat,168,0.5555555555555556
cat,171,0.5555555555555556
cat,175,3.888888888888889
cat,176,0.5555555555555556
cat,185,6.111111111111111
cat,196,0.5555555555555556
cat,202,0.5555555555555556
cat,210,0.5555555555555556
cat,213,0.5555555555555556
cat,223,0.5555555555555556
cat,236,1.1111111111111112
cat,257,0.5555555555555556
cat,264,0.5555555555555556
cat,265,0.5555555555555556
cat,266,0.5555555555555556
cat,268,6.111111111111111
cat,269,0.5555555555555556
cat,270,0.5555555555555556
cat,281,0.5555555555555556
cat,293,0.5555555555555556
cat,297,0.5555555555555556
cat,306,0.5555555555555556
cat,307,0.5555555555555556
cat,312,3.3333333333333335
cat,314,0.5555555555555556
cat,320,0.5555555555555556
cat,334,0.5555555555555556
cat,336,0.5555555555555556
cat,337,0.5555555555555556
cat,338,0.5555555555555556
cat,339,0.5555555555555556
cat,340,0.5555555555555556
cat,352,0.5555555555555556
cat,355,0.5555555555555556
cat,367,0.5555555555555556
cat,375,0.5555555555555556
cat,377,0.5555555555555556
cat,397,0.5555555555555556
cat,403,1.6666666666666667
cat,404,0.5555555555555556
cat,409,0.5555555555555556
cat,410,0.5555555555555556
cat,422,0.5555555555555556
cat,423,0.5555555555555556
cat,425,0.5555555555555556
cat,433,0.5555555555555556
cat,437,0.5555555555555556
cattle,0,0.8
cattle,2,0.8
cattle,4,4.0
cattle,7,4.0
cattle,9,3.2
cattle,16,1.6
cattle,17,5.6000000000000005
cattle,20,0.8
cattle,21,2.4
cattle,25,1.6
cattle,26,0.8
cattle,27,1.6
cattle,31,2.4
cattle,40,0.8
cattle,43,3.2
cattle,50,0.8
cattle,51,1.6
cattle,62,0.8
cattle,67,0.8
cattle,70,0.8
cattle,71,0.8
cattle,72,0.8
cattle,73,0.8
cattle,76,0.8
cattle,86,1.6
cattle,93,0.8
cattle,95,3.2
cattle,97,2.4
cattle,102,2.4
cattle,108,0.8
cattle,113,0.8
cattle,120,0.8
cattle,135,1.6
cattle,136,0.8
cattle,145,0.8
cattle,148,0.8
cattle,168,0.8
cattle,169,0.8
cattle,175,12.0
cattle,183,0.8
cattle,185,3.2
cattle,196,1.6
cattle,210,0.8
cattle,213,0.8
